Id,Gender,MasterCategory,SubCategory,ArticleType,BaseColor,Season,Year,Usage,ProductDisplayName,Column1,Column2
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,,
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,,
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt,,
18839,Men,Accessories,Belts,Belts,Black,Fall,2011,Formal,Peter England Men Formal Black Belt,,
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Stripes White Red Shirts,,
38402,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Baggit Women Hood Dabang Black Belt,,
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,,
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011,Casual,Indigo Nation Men Reversible Bling Pink Shirts,,
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011,Casual,Turtle Check Men Yellow Shirt,,
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,,
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012,Formal,Scullers For Her Charcoal Blazer,,
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Jealous 21 Women Black Jeans,,
49005,Women,Accessories,Jewellery,Ring,Silver,Summer,2012,Casual,Lucera Women Silver Ring,,
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Scullers Men  Green Check Shirt,,
16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Levis Men Check Red Shirts,,
6617,Men,Apparel,Topwear,Shirts,Black,Summer,2011,Casual,Spykar Men Black and white Check Shirt,,
12732,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011,Sports,Nike Unisex Swoosh Black Backpack,,
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Mark Taylor Men Striped Blue Shirt,,
18806,Men,Accessories,Belts,Belts,Tan,Summer,2011,Casual,Peter England Men Casual Tan Belt,,
17072,Women,Accessories,Belts,Belts,Grey,Winter,2015,Casual,Lino Perros Women Weaved  Grey Belt,,
12500,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,United Colors of Benetton Men Short Black Shirts,,
29319,Unisex,Accessories,Bags,Backpacks,Red,Summer,2012,Casual,ADIDAS Unisex Chicago Bulls Red Backpack,,
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Jealous 21 Women Black Jegging,,
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,,
16530,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Locomotive Men Check Red Shirt,,
7167,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,Scullers Men Scul Purple White Shirt,,
12190,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Basics Men Blue Slim Fit Checked Shirt,,
46072,Men,Accessories,Belts,Belts,Black,Summer,2012,Casual,Lino Perros Men Black Leather Belt,,
14055,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Flying Machine Men Check Green Shirts,,
34036,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,Palm Tree Boys Check Blue Shirt,,
8779,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt,,
11143,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Scullers Men Price Catch Black Shirts,,
11371,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,United Colors Of Benetton Men Summer Black Shirts,,
14603,Men,Accessories,Socks,Socks,Grey,Summer,2011,Casual,United Colors of Benetton Men Pack of 2 Grey Socks,,
19920,Unisex,Accessories,Bags,Backpacks,Black,Winter,2015,Casual,Wildcraft Unisex Black Outdoor Backpack,,
13846,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,John Miller Men Stripes Blue Shirts,,
16508,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011,Casual,Locomotive Men Washed Blue Jeans,,
49230,Men,Accessories,Socks,Socks,Black,Summer,2016,Casual,Calzini Men Pack of 5 Sports Socks,,
15983,Men,Apparel,Topwear,Shirts,Burgundy,Fall,2011,Casual,Turtle Solid Men  Burgundy Shirt,,
27841,Men,Accessories,Belts,Belts,White,Summer,2012,Casual,Bulchee Men Plain Jeans White Belt,,
26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Jealous 21 Women Washed Blue Jeans,,
46876,Men,Accessories,Socks,Socks,Grey,Summer,2012,Casual,Lino Perros Men Pack of 2 Socks,,
51499,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Denizen Women Blue Jeans,,
7709,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Jealous 21 Women's Aaren Black Jegging,,
43960,Men,Apparel,Topwear,Shirts,Grey,Summer,2012,Formal,Indigo Nation Men Grey Striped Shirt,,
8741,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Indigo Nation Men Checks Shirt Navy Blue Shirts,,
19316,Unisex,Accessories,Bags,Backpacks,Grey,Fall,2011,Casual,Nike Unisex Hayward 25M Grey Backpack,,
19918,Unisex,Accessories,Bags,Backpacks,Black,Winter,2015,Casual,Wildcraft Unisex Black Backpack,,
22359,Men,Apparel,Topwear,Shirts,Blue,Summer,2011,Casual,John Players Men Check Blue Shirt,,
11349,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2017,Casual,Lee Men Blue Chicago Fit Jeans,,
4944,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Infant Kidswear,,
9667,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,Indigo Nation Men Bling Red Black Shirts,,
8587,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Scullers Men Red Check Shirt,,
9455,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Red Striped Shirt,,
38405,Women,Accessories,Belts,Belts,White,Summer,2012,Casual,Baggit Women White Capri Taj Belt,,
24866,Men,Accessories,Belts,Belts,Black,Summer,2012,Casual,Reid & Taylor Men Formal Black Belt,,
26369,Women,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,Arrow Woman Blue Shirt,,
33489,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Casual,Doodle Kids Boy Check Green Shirt,,
39381,Men,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Peter England Men Party Black Jeans,,
15977,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Turtle Solid Men Red Shirt,,
30802,Men,Apparel,Topwear,Shirts,Blue,Summer,2012,Ethnic,Fabindia Men Blue Shirt,,
29113,Women,Accessories,Socks,Socks,White,Summer,2012,Casual,Puma Women Pack of 3 Socks,,
48124,Women,Accessories,Belts,Belts,Brown,Summer,2012,Casual,Fossil Women Brown Huarache Weave Belt,,
